County,Month,Year,Max Temperature,Avg Temperature,Min Temperature,Dew Point,Precipitation,Wind,Sea Level Pressure
nairobi-city,January,2011,29.0°C (84.2°F),23.0°C (73.4°F),14.0°C (57.2°F),14.0°C (57.2°F),6.0mm | 0.24in,19.0kmh | 11.81mph,6.0mb
nairobi-city,February,2011,34.0°C (93.2°F),27.0°C (80.6°F),15.0°C (59.0°F),16.0°C (60.8°F),25.5mm | 1.0in,20.0kmh | 12.43mph,25.5mb
nairobi-city,March,2011,29.0°C (84.2°F),23.0°C (73.4°F),16.0°C (60.8°F),16.0°C (60.8°F),36.0mm | 1.42in,19.0kmh | 11.81mph,36.0mb
nairobi-city,April,2011,28.0°C (82.4°F),22.0°C (71.6°F),15.0°C (59.0°F),17.0°C (62.6°F),20.8mm | 0.82in,16.0kmh | 9.94mph,20.8mb
nairobi-city,May,2011,25.0°C (77.0°F),21.0°C (69.8°F),16.0°C (60.8°F),17.0°C (62.6°F),46.2mm | 1.82in,13.0kmh | 8.08mph,46.2mb
nairobi-city,June,2011,26.0°C (78.8°F),21.0°C (69.8°F),16.0°C (60.8°F),16.0°C (60.8°F),19.7mm | 0.78in,11.0kmh | 6.84mph,19.7mb
nairobi-city,July,2011,25.0°C (77.0°F),21.0°C (69.8°F),16.0°C (60.8°F),16.0°C (60.8°F),37.2mm | 1.46in,13.0kmh | 8.08mph,37.2mb
nairobi-city,August,2011,25.0°C (77.0°F),21.0°C (69.8°F),15.0°C (59.0°F),15.0°C (59.0°F),29.9mm | 1.18in,12.0kmh | 7.46mph,29.9mb
nairobi-city,September,2011,27.0°C (80.6°F),22.0°C (71.6°F),16.0°C (60.8°F),15.0°C (59.0°F),18.2mm | 0.72in,15.0kmh | 9.32mph,18.2mb
nairobi-city,October,2011,28.0°C (82.4°F),23.0°C (73.4°F),17.0°C (62.6°F),16.0°C (60.8°F),19.6mm | 0.77in,20.0kmh | 12.43mph,19.6mb
nairobi-city,November,2011,27.0°C (80.6°F),23.0°C (73.4°F),17.0°C (62.6°F),16.0°C (60.8°F),32.6mm | 1.28in,20.0kmh | 12.43mph,32.6mb
nairobi-city,December,2011,25.0°C (77.0°F),21.0°C (69.8°F),17.0°C (62.6°F),17.0°C (62.6°F),63.2mm | 2.49in,21.0kmh | 13.05mph,63.2mb
nakuru,January,2010,27.0°C (80.6°F),20.0°C (68.0°F),13.0°C (55.4°F),14.0°C (57.2°F),20.7mm | 0.81in,16.0kmh | 9.94mph,20.7mb
nakuru,February,2010,29.0°C (84.2°F),22.0°C (71.6°F),15.0°C (59.0°F),14.0°C (57.2°F),15.0mm | 0.59in,18.0kmh | 11.18mph,15.0mb
nakuru,March,2010,26.0°C (78.8°F),20.0°C (68.0°F),15.0°C (59.0°F),15.0°C (59.0°F),111.2mm | 4.38in,15.0kmh | 9.32mph,111.2mb
nakuru,April,2010,25.0°C (77.0°F),21.0°C (69.8°F),15.0°C (59.0°F),16.0°C (60.8°F),12.1mm | 0.48in,14.0kmh | 8.7mph,12.1mb
nakuru,May,2010,23.0°C (73.4°F),19.0°C (66.2°F),15.0°C (59.0°F),16.0°C (60.8°F),129.6mm | 5.1in,20.0kmh | 12.43mph,129.6mb
nakuru,June,2010,24.0°C (75.2°F),18.0°C (64.4°F),13.0°C (55.4°F),15.0°C (59.0°F),16.1mm | 0.63in,18.0kmh | 11.18mph,16.1mb
nakuru,July,2010,23.0°C (73.4°F),18.0°C (64.4°F),13.0°C (55.4°F),14.0°C (57.2°F),33.3mm | 1.31in,18.0kmh | 11.18mph,33.3mb
nakuru,August,2010,25.0°C (77.0°F),19.0°C (66.2°F),13.0°C (55.4°F),14.0°C (57.2°F),17.6mm | 0.69in,18.0kmh | 11.18mph,17.6mb
nakuru,September,2010,26.0°C (78.8°F),19.0°C (66.2°F),12.0°C (53.6°F),14.0°C (57.2°F),21.3mm | 0.84in,18.0kmh | 11.18mph,21.3mb
nakuru,October,2010,26.0°C (78.8°F),20.0°C (68.0°F),13.0°C (55.4°F),14.0°C (57.2°F),19.9mm | 0.78in,15.0kmh | 9.32mph,19.9mb
nakuru,November,2010,24.0°C (75.2°F),19.0°C (66.2°F),13.0°C (55.4°F),14.0°C (57.2°F),23.2mm | 0.91in,13.0kmh | 8.08mph,23.2mb
nakuru,December,2010,25.0°C (77.0°F),19.0°C (66.2°F),10.0°C (50.0°F),11.0°C (51.8°F),7.3mm | 0.29in,14.0kmh | 8.7mph,7.3mb
nakuru,January,2011,26.0°C (78.8°F),20.0°C (68.0°F),10.0°C (50.0°F),10.0°C (50.0°F),2.8mm | 0.11in,16.0kmh | 9.94mph,2.8mb
nakuru,February,2011,27.0°C (80.6°F),22.0°C (71.6°F),11.0°C (51.8°F),11.0°C (51.8°F),8.7mm | 0.34in,17.0kmh | 10.56mph,8.7mb
nakuru,March,2011,29.0°C (84.2°F),21.0°C (69.8°F),13.0°C (55.4°F),14.0°C (57.2°F),29.0mm | 1.14in,14.0kmh | 8.7mph,29.0mb
nakuru,April,2011,27.0°C (80.6°F),20.0°C (68.0°F),14.0°C (57.2°F),15.0°C (59.0°F),22.0mm | 0.87in,14.0kmh | 8.7mph,22.0mb
nakuru,May,2011,25.0°C (77.0°F),19.0°C (66.2°F),13.0°C (55.4°F),14.0°C (57.2°F),53.6mm | 2.11in,19.0kmh | 11.81mph,53.6mb
nakuru,June,2011,24.0°C (75.2°F),19.0°C (66.2°F),13.0°C (55.4°F),14.0°C (57.2°F),17.7mm | 0.7in,12.0kmh | 7.46mph,17.7mb
nakuru,July,2011,23.0°C (73.4°F),19.0°C (66.2°F),12.0°C (53.6°F),14.0°C (57.2°F),21.5mm | 0.85in,17.0kmh | 10.56mph,21.5mb
nakuru,August,2011,23.0°C (73.4°F),18.0°C (64.4°F),13.0°C (55.4°F),15.0°C (59.0°F),37.6mm | 1.48in,17.0kmh | 10.56mph,37.6mb
nakuru,September,2011,24.0°C (75.2°F),20.0°C (68.0°F),14.0°C (57.2°F),15.0°C (59.0°F),42.2mm | 1.66in,19.0kmh | 11.81mph,42.2mb
nakuru,October,2011,26.0°C (78.8°F),20.0°C (68.0°F),14.0°C (57.2°F),13.0°C (55.4°F),10.3mm | 0.41in,18.0kmh | 11.18mph,10.3mb
nakuru,November,2011,25.0°C (77.0°F),20.0°C (68.0°F),14.0°C (57.2°F),14.0°C (57.2°F),16.7mm | 0.66in,14.0kmh | 8.7mph,16.7mb
nakuru,December,2011,23.0°C (73.4°F),19.0°C (66.2°F),14.0°C (57.2°F),15.0°C (59.0°F),67.4mm | 2.65in,15.0kmh | 9.32mph,67.4mb
kisii,January,2012,29.0°C (84.2°F),22.0°C (71.6°F),16.0°C (60.8°F),15.0°C (59.0°F),12.6mm | 0.5in,19.0kmh | 11.81mph,12.6mb
kisii,February,2012,30.0°C (86.0°F),23.0°C (73.4°F),19.0°C (66.2°F),15.0°C (59.0°F),21.4mm | 0.84in,22.0kmh | 13.67mph,21.4mb
kisii,March,2012,29.0°C (84.2°F),24.0°C (75.2°F),16.0°C (60.8°F),16.0°C (60.8°F),15.1mm | 0.59in,16.0kmh | 9.94mph,15.1mb
kisii,April,2012,26.0°C (78.8°F),22.0°C (71.6°F),17.0°C (62.6°F),18.0°C (64.4°F),89.7mm | 3.53in,14.0kmh | 8.7mph,89.7mb
kisii,May,2012,23.0°C (73.4°F),21.0°C (69.8°F),17.0°C (62.6°F),18.0°C (64.4°F),51.6mm | 2.03in,13.0kmh | 8.08mph,51.6mb
kisii,June,2012,24.0°C (75.2°F),21.0°C (69.8°F),16.0°C (60.8°F),17.0°C (62.6°F),33.0mm | 1.3in,12.0kmh | 7.46mph,33.0mb
kisii,July,2012,24.0°C (75.2°F),20.0°C (68.0°F),15.0°C (59.0°F),16.0°C (60.8°F),11.8mm | 0.46in,13.0kmh | 8.08mph,11.8mb
kisii,August,2012,26.0°C (78.8°F),21.0°C (69.8°F),17.0°C (62.6°F),16.0°C (60.8°F),22.7mm | 0.89in,15.0kmh | 9.32mph,22.7mb
kisii,September,2012,28.0°C (82.4°F),23.0°C (73.4°F),16.0°C (60.8°F),16.0°C (60.8°F),12.3mm | 0.48in,14.0kmh | 8.7mph,12.3mb
kisii,October,2012,28.0°C (82.4°F),23.0°C (73.4°F),17.0°C (62.6°F),17.0°C (62.6°F),24.9mm | 0.98in,19.0kmh | 11.81mph,24.9mb
kisii,November,2012,26.0°C (78.8°F),22.0°C (71.6°F),17.0°C (62.6°F),17.0°C (62.6°F),54.3mm | 2.14in,14.0kmh | 8.7mph,54.3mb
kisii,December,2012,26.0°C (78.8°F),21.0°C (69.8°F),17.0°C (62.6°F),17.0°C (62.6°F),26.1mm | 1.03in,12.0kmh | 7.46mph,26.1mb
kisii,January,2013,28.0°C (82.4°F),23.0°C (73.4°F),17.0°C (62.6°F),16.0°C (60.8°F),23.5mm | 0.93in,15.0kmh | 9.32mph,23.5mb
kisii,February,2013,32.0°C (89.6°F),24.0°C (75.2°F),17.0°C (62.6°F),16.0°C (60.8°F),9.9mm | 0.39in,17.0kmh | 10.56mph,9.9mb
kisii,March,2013,31.0°C (87.8°F),24.0°C (75.2°F),18.0°C (64.4°F),18.0°C (64.4°F),67.3mm | 2.65in,19.0kmh | 11.81mph,67.3mb
kisii,April,2013,25.0°C (77.0°F),22.0°C (71.6°F),17.0°C (62.6°F),18.0°C (64.4°F),34.5mm | 1.36in,15.0kmh | 9.32mph,34.5mb
kisii,May,2013,25.0°C (77.0°F),21.0°C (69.8°F),17.0°C (62.6°F),17.0°C (62.6°F),39.3mm | 1.55in,15.0kmh | 9.32mph,39.3mb
kisii,June,2013,24.0°C (75.2°F),21.0°C (69.8°F),16.0°C (60.8°F),17.0°C (62.6°F),39.4mm | 1.55in,17.0kmh | 10.56mph,39.4mb
kisii,July,2013,25.0°C (77.0°F),21.0°C (69.8°F),15.0°C (59.0°F),16.0°C (60.8°F),7.5mm | 0.3in,15.0kmh | 9.32mph,7.5mb
kisii,August,2013,26.0°C (78.8°F),21.0°C (69.8°F),16.0°C (60.8°F),15.0°C (59.0°F),25.3mm | 1.0in,15.0kmh | 9.32mph,25.3mb
kisii,September,2013,29.0°C (84.2°F),23.0°C (73.4°F),16.0°C (60.8°F),16.0°C (60.8°F),28.1mm | 1.11in,14.0kmh | 8.7mph,28.1mb
kisii,October,2013,28.0°C (82.4°F),23.0°C (73.4°F),16.0°C (60.8°F),15.0°C (59.0°F),21.8mm | 0.86in,16.0kmh | 9.94mph,21.8mb
kisii,November,2013,27.0°C (80.6°F),22.0°C (71.6°F),17.0°C (62.6°F),17.0°C (62.6°F),24.2mm | 0.95in,15.0kmh | 9.32mph,24.2mb
kisii,December,2013,26.0°C (78.8°F),22.0°C (71.6°F),18.0°C (64.4°F),17.0°C (62.6°F),28.2mm | 1.11in,13.0kmh | 8.08mph,28.2mb
kisii,January,2014,31.0°C (87.8°F),24.0°C (75.2°F),16.0°C (60.8°F),17.0°C (62.6°F),15.8mm | 0.62in,17.0kmh | 10.56mph,15.8mb
kisii,February,2014,30.0°C (86.0°F),24.0°C (75.2°F),18.0°C (64.4°F),16.0°C (60.8°F),30.8mm | 1.21in,16.0kmh | 9.94mph,30.8mb
kisii,March,2014,31.0°C (87.8°F),25.0°C (77.0°F),17.0°C (62.6°F),16.0°C (60.8°F),34.7mm | 1.37in,16.0kmh | 9.94mph,34.7mb
kisii,April,2014,27.0°C (80.6°F),22.0°C (71.6°F),17.0°C (62.6°F),17.0°C (62.6°F),43.9mm | 1.73in,14.0kmh | 8.7mph,43.9mb
kisii,May,2014,26.0°C (78.8°F),22.0°C (71.6°F),17.0°C (62.6°F),18.0°C (64.4°F),34.4mm | 1.35in,17.0kmh | 10.56mph,34.4mb
kisii,June,2014,25.0°C (77.0°F),21.0°C (69.8°F),17.0°C (62.6°F),18.0°C (64.4°F),33.5mm | 1.32in,17.0kmh | 10.56mph,33.5mb
kisii,July,2014,25.0°C (77.0°F),21.0°C (69.8°F),16.0°C (60.8°F),16.0°C (60.8°F),18.0mm | 0.71in,16.0kmh | 9.94mph,18.0mb
kisii,August,2014,26.0°C (78.8°F),21.0°C (69.8°F),16.0°C (60.8°F),16.0°C (60.8°F),18.7mm | 0.74in,16.0kmh | 9.94mph,18.7mb
kisii,September,2014,28.0°C (82.4°F),22.0°C (71.6°F),16.0°C (60.8°F),15.0°C (59.0°F),19.8mm | 0.78in,15.0kmh | 9.32mph,19.8mb
kisii,October,2014,28.0°C (82.4°F),23.0°C (73.4°F),17.0°C (62.6°F),17.0°C (62.6°F),44.7mm | 1.76in,20.0kmh | 12.43mph,44.7mb
kisii,November,2014,26.0°C (78.8°F),22.0°C (71.6°F),16.0°C (60.8°F),17.0°C (62.6°F),22.7mm | 0.89in,16.0kmh | 9.94mph,22.7mb
kisii,December,2014,26.0°C (78.8°F),21.0°C (69.8°F),17.0°C (62.6°F),17.0°C (62.6°F),6.2mm | 0.24in,15.0kmh | 9.32mph,6.2mb
kisii,January,2015,28.0°C (82.4°F),24.0°C (75.2°F),20.0°C (68.0°F),14.0°C (57.2°F),9.8mm | 0.39in,21.0kmh | 13.05mph,9.8mb
kisii,February,2015,32.0°C (89.6°F),25.0°C (77.0°F),18.0°C (64.4°F),15.0°C (59.0°F),7.5mm | 0.3in,21.0kmh | 13.05mph,7.5mb
kisii,March,2015,33.0°C (91.4°F),27.0°C (80.6°F),18.0°C (64.4°F),16.0°C (60.8°F),37.3mm | 1.47in,23.0kmh | 14.29mph,37.3mb
kisii,April,2015,25.0°C (77.0°F),22.0°C (71.6°F),18.0°C (64.4°F),17.0°C (62.6°F),41.8mm | 1.65in,16.0kmh | 9.94mph,41.8mb
kisii,May,2015,25.0°C (77.0°F),22.0°C (71.6°F),17.0°C (62.6°F),17.0°C (62.6°F),19.8mm | 0.78in,27.0kmh | 16.78mph,19.8mb
kisii,June,2015,24.0°C (75.2°F),21.0°C (69.8°F),17.0°C (62.6°F),16.0°C (60.8°F),17.9mm | 0.7in,16.0kmh | 9.94mph,17.9mb
kisii,July,2015,26.0°C (78.8°F),22.0°C (71.6°F),17.0°C (62.6°F),15.0°C (59.0°F),14.6mm | 0.57in,31.0kmh | 19.26mph,14.6mb
kisii,August,2015,28.0°C (82.4°F),23.0°C (73.4°F),18.0°C (64.4°F),15.0°C (59.0°F),22.4mm | 0.88in,24.0kmh | 14.91mph,22.4mb
kisii,September,2015,28.0°C (82.4°F),23.0°C (73.4°F),18.0°C (64.4°F),15.0°C (59.0°F),13.5mm | 0.53in,25.0kmh | 15.53mph,13.5mb
kisii,October,2015,30.0°C (86.0°F),25.0°C (77.0°F),19.0°C (66.2°F),17.0°C (62.6°F),33.5mm | 1.32in,26.0kmh | 16.16mph,33.5mb
kisii,November,2015,25.0°C (77.0°F),22.0°C (71.6°F),18.0°C (64.4°F),17.0°C (62.6°F),62.9mm | 2.48in,13.0kmh | 8.08mph,62.9mb
kisii,December,2015,26.0°C (78.8°F),22.0°C (71.6°F),20.0°C (68.0°F),17.0°C (62.6°F),29.3mm | 1.15in,13.0kmh | 8.08mph,29.3mb
kisii,January,2016,28.0°C (82.4°F),23.0°C (73.4°F),19.0°C (66.2°F),17.0°C (62.6°F),25.3mm | 1.0in,16.0kmh | 9.94mph,25.3mb
kisii,February,2016,32.0°C (89.6°F),25.0°C (77.0°F),20.0°C (68.0°F),15.0°C (59.0°F),6.2mm | 0.24in,20.0kmh | 12.43mph,6.2mb
kisii,March,2016,33.0°C (91.4°F),26.0°C (78.8°F),20.0°C (68.0°F),16.0°C (60.8°F),23.8mm | 0.94in,19.0kmh | 11.81mph,23.8mb
kisii,April,2016,27.0°C (80.6°F),23.0°C (73.4°F),20.0°C (68.0°F),17.0°C (62.6°F),83.0mm | 3.27in,18.0kmh | 11.18mph,83.0mb
kisii,May,2016,25.0°C (77.0°F),22.0°C (71.6°F),17.0°C (62.6°F),17.0°C (62.6°F),37.1mm | 1.46in,19.0kmh | 11.81mph,37.1mb
kisii,June,2016,25.0°C (77.0°F),21.0°C (69.8°F),16.0°C (60.8°F),16.0°C (60.8°F),21.3mm | 0.84in,21.0kmh | 13.05mph,21.3mb
kisii,July,2016,24.0°C (75.2°F),21.0°C (69.8°F),17.0°C (62.6°F),15.0°C (59.0°F),10.2mm | 0.4in,18.0kmh | 11.18mph,10.2mb
kisii,August,2016,28.0°C (82.4°F),24.0°C (75.2°F),21.0°C (69.8°F),15.0°C (59.0°F),18.3mm | 0.72in,22.0kmh | 13.67mph,18.3mb
kisii,September,2016,29.0°C (84.2°F),23.0°C (73.4°F),17.0°C (62.6°F),15.0°C (59.0°F),22.5mm | 0.89in,18.0kmh | 11.18mph,22.5mb
kisii,October,2016,28.0°C (82.4°F),23.0°C (73.4°F),17.0°C (62.6°F),16.0°C (60.8°F),25.8mm | 1.02in,18.0kmh | 11.18mph,25.8mb
kisii,November,2016,27.0°C (80.6°F),23.0°C (73.4°F),18.0°C (64.4°F),17.0°C (62.6°F),32.7mm | 1.29in,15.0kmh | 9.32mph,32.7mb
kisii,December,2016,29.0°C (84.2°F),23.0°C (73.4°F),17.0°C (62.6°F),16.0°C (60.8°F),14.7mm | 0.58in,22.0kmh | 13.67mph,14.7mb
kisii,January,2017,33.0°C (91.4°F),25.0°C (77.0°F),19.0°C (66.2°F),15.0°C (59.0°F),11.6mm | 0.46in,20.0kmh | 12.43mph,11.6mb
kisii,February,2017,31.0°C (87.8°F),25.0°C (77.0°F),18.0°C (64.4°F),15.0°C (59.0°F),17.0mm | 0.67in,16.0kmh | 9.94mph,17.0mb
kisii,March,2017,31.0°C (87.8°F),25.0°C (77.0°F),17.0°C (62.6°F),16.0°C (60.8°F),43.7mm | 1.72in,17.0kmh | 10.56mph,43.7mb
kisii,April,2017,30.0°C (86.0°F),24.0°C (75.2°F),18.0°C (64.4°F),17.0°C (62.6°F),35.0mm | 1.38in,21.0kmh | 13.05mph,35.0mb
kisii,May,2017,25.0°C (77.0°F),21.0°C (69.8°F),17.0°C (62.6°F),17.0°C (62.6°F),17.9mm | 0.7in,23.0kmh | 14.29mph,17.9mb
kisii,June,2017,26.0°C (78.8°F),22.0°C (71.6°F),17.0°C (62.6°F),16.0°C (60.8°F),10.6mm | 0.42in,24.0kmh | 14.91mph,10.6mb
kisii,July,2017,28.0°C (82.4°F),22.0°C (71.6°F),17.0°C (62.6°F),15.0°C (59.0°F),10.4mm | 0.41in,17.0kmh | 10.56mph,10.4mb
kisii,August,2017,29.0°C (84.2°F),23.0°C (73.4°F),18.0°C (64.4°F),16.0°C (60.8°F),16.8mm | 0.66in,13.0kmh | 8.08mph,16.8mb
kisii,September,2017,29.0°C (84.2°F),24.0°C (75.2°F),18.0°C (64.4°F),16.0°C (60.8°F),30.6mm | 1.2in,11.0kmh | 6.84mph,30.6mb
kisii,October,2017,31.0°C (87.8°F),25.0°C (77.0°F),18.0°C (64.4°F),17.0°C (62.6°F),32.9mm | 1.3in,15.0kmh | 9.32mph,32.9mb
kisii,November,2017,29.0°C (84.2°F),24.0°C (75.2°F),19.0°C (66.2°F),17.0°C (62.6°F),33.6mm | 1.32in,14.0kmh | 8.7mph,33.6mb
kisii,December,2017,30.0°C (86.0°F),24.0°C (75.2°F),19.0°C (66.2°F),17.0°C (62.6°F),15.0mm | 0.59in,11.0kmh | 6.84mph,15.0mb
kisii,January,2018,32.0°C (89.6°F),25.0°C (77.0°F),20.0°C (68.0°F),15.0°C (59.0°F),17.4mm | 0.69in,11.0kmh | 6.84mph,17.4mb
kisii,February,2018,34.0°C (93.2°F),27.0°C (80.6°F),20.0°C (68.0°F),16.0°C (60.8°F),13.6mm | 0.54in,13.0kmh | 8.08mph,13.6mb
kisii,March,2018,29.0°C (84.2°F),23.0°C (73.4°F),19.0°C (66.2°F),17.0°C (62.6°F),39.1mm | 1.54in,11.0kmh | 6.84mph,39.1mb
kisii,April,2018,27.0°C (80.6°F),22.0°C (71.6°F),18.0°C (64.4°F),18.0°C (64.4°F),55.6mm | 2.19in,10.0kmh | 6.21mph,55.6mb
kisii,May,2018,26.0°C (78.8°F),22.0°C (71.6°F),17.0°C (62.6°F),17.0°C (62.6°F),22.9mm | 0.9in,12.0kmh | 7.46mph,22.9mb
kisii,June,2018,26.0°C (78.8°F),21.0°C (69.8°F),16.0°C (60.8°F),16.0°C (60.8°F),25.3mm | 1.0in,11.0kmh | 6.84mph,25.3mb
kisii,July,2018,27.0°C (80.6°F),22.0°C (71.6°F),16.0°C (60.8°F),14.0°C (57.2°F),10.5mm | 0.41in,14.0kmh | 8.7mph,10.5mb
kisii,August,2018,29.0°C (84.2°F),23.0°C (73.4°F),18.0°C (64.4°F),16.0°C (60.8°F),35.7mm | 1.41in,15.0kmh | 9.32mph,35.7mb
kisii,September,2018,32.0°C (89.6°F),24.0°C (75.2°F),18.0°C (64.4°F),14.0°C (57.2°F),16.3mm | 0.64in,15.0kmh | 9.32mph,16.3mb
kisii,October,2018,31.0°C (87.8°F),24.0°C (75.2°F),17.0°C (62.6°F),16.0°C (60.8°F),22.6mm | 0.89in,20.0kmh | 12.43mph,22.6mb
kisii,November,2018,30.0°C (86.0°F),24.0°C (75.2°F),19.0°C (66.2°F),16.0°C (60.8°F),26.9mm | 1.06in,10.0kmh | 6.21mph,26.9mb
kisii,December,2018,30.0°C (86.0°F),24.0°C (75.2°F),20.0°C (68.0°F),17.0°C (62.6°F),31.8mm | 1.25in,10.0kmh | 6.21mph,31.8mb
kisii,January,2019,33.0°C (91.4°F),25.0°C (77.0°F),20.0°C (68.0°F),16.0°C (60.8°F),16.6mm | 0.65in,13.0kmh | 8.08mph,16.6mb
kisii,February,2019,34.0°C (93.2°F),27.0°C (80.6°F),20.0°C (68.0°F),16.0°C (60.8°F),26.6mm | 1.05in,12.0kmh | 7.46mph,26.6mb
kisii,March,2019,34.0°C (93.2°F),27.0°C (80.6°F),20.0°C (68.0°F),16.0°C (60.8°F),11.9mm | 0.47in,13.0kmh | 8.08mph,11.9mb
kisii,April,2019,33.0°C (91.4°F),26.0°C (78.8°F),20.0°C (68.0°F),18.0°C (64.4°F),36.6mm | 1.44in,12.0kmh | 7.46mph,36.6mb
kisii,May,2019,29.0°C (84.2°F),24.0°C (75.2°F),18.0°C (64.4°F),18.0°C (64.4°F),26.6mm | 1.05in,17.0kmh | 10.56mph,26.6mb
kisii,June,2019,26.0°C (78.8°F),21.0°C (69.8°F),17.0°C (62.6°F),17.0°C (62.6°F),24.2mm | 0.95in,13.0kmh | 8.08mph,24.2mb
kisii,July,2019,25.0°C (77.0°F),21.0°C (69.8°F),17.0°C (62.6°F),17.0°C (62.6°F),13.3mm | 0.52in,17.0kmh | 10.56mph,13.3mb
kisii,August,2019,27.0°C (80.6°F),22.0°C (71.6°F),17.0°C (62.6°F),16.0°C (60.8°F),20.0mm | 0.79in,15.0kmh | 9.32mph,20.0mb
kisii,September,2019,28.0°C (82.4°F),23.0°C (73.4°F),17.0°C (62.6°F),16.0°C (60.8°F),27.8mm | 1.09in,15.0kmh | 9.32mph,27.8mb
kisii,October,2019,27.0°C (80.6°F),22.0°C (71.6°F),18.0°C (64.4°F),17.0°C (62.6°F),19.8mm | 0.78in,21.0kmh | 13.05mph,19.8mb
kisii,November,2019,27.0°C (80.6°F),23.0°C (73.4°F),19.0°C (66.2°F),18.0°C (64.4°F),25.2mm | 0.99in,12.0kmh | 7.46mph,25.2mb
kisii,December,2019,26.0°C (78.8°F),22.0°C (71.6°F),18.0°C (64.4°F),18.0°C (64.4°F),86.4mm | 3.4in,11.0kmh | 6.84mph,86.4mb
kisumu,January,2012,34.0°C (93.2°F),27.0°C (80.6°F),17.0°C (62.6°F),15.0°C (59.0°F),3.3mm | 0.13in,26.0kmh | 16.16mph,3.3mb
kisumu,February,2012,35.0°C (95.0°F),27.0°C (80.6°F),19.0°C (66.2°F),16.0°C (60.8°F),18.7mm | 0.74in,31.0kmh | 19.26mph,18.7mb
kisumu,March,2012,36.0°C (96.8°F),28.0°C (82.4°F),18.0°C (64.4°F),17.0°C (62.6°F),8.9mm | 0.35in,17.0kmh | 10.56mph,8.9mb
kisumu,April,2012,31.0°C (87.8°F),26.0°C (78.8°F),19.0°C (66.2°F),19.0°C (66.2°F),41.7mm | 1.64in,13.0kmh | 8.08mph,41.7mb
kisumu,May,2012,27.0°C (80.6°F),23.0°C (73.4°F),18.0°C (64.4°F),20.0°C (68.0°F),63.2mm | 2.49in,12.0kmh | 7.46mph,63.2mb
kisumu,June,2012,27.0°C (80.6°F),23.0°C (73.4°F),17.0°C (62.6°F),19.0°C (66.2°F),43.2mm | 1.7in,11.0kmh | 6.84mph,43.2mb
kisumu,July,2012,27.0°C (80.6°F),23.0°C (73.4°F),17.0°C (62.6°F),18.0°C (64.4°F),18.4mm | 0.72in,11.0kmh | 6.84mph,18.4mb
kisumu,August,2012,29.0°C (84.2°F),24.0°C (75.2°F),18.0°C (64.4°F),18.0°C (64.4°F),29.3mm | 1.15in,12.0kmh | 7.46mph,29.3mb
kisumu,September,2012,31.0°C (87.8°F),25.0°C (77.0°F),17.0°C (62.6°F),18.0°C (64.4°F),24.6mm | 0.97in,13.0kmh | 8.08mph,24.6mb
kisumu,October,2012,31.0°C (87.8°F),25.0°C (77.0°F),19.0°C (66.2°F),19.0°C (66.2°F),54.0mm | 2.13in,15.0kmh | 9.32mph,54.0mb
kisumu,November,2012,29.0°C (84.2°F),24.0°C (75.2°F),18.0°C (64.4°F),19.0°C (66.2°F),57.5mm | 2.26in,15.0kmh | 9.32mph,57.5mb
kisumu,December,2012,30.0°C (86.0°F),24.0°C (75.2°F),18.0°C (64.4°F),18.0°C (64.4°F),27.7mm | 1.09in,17.0kmh | 10.56mph,27.7mb
kisumu,January,2013,34.0°C (93.2°F),27.0°C (80.6°F),19.0°C (66.2°F),17.0°C (62.6°F),14.5mm | 0.57in,21.0kmh | 13.05mph,14.5mb
kisumu,February,2013,37.0°C (98.6°F),28.0°C (82.4°F),19.0°C (66.2°F),17.0°C (62.6°F),8.7mm | 0.34in,21.0kmh | 13.05mph,8.7mb
kisumu,March,2013,36.0°C (96.8°F),29.0°C (84.2°F),20.0°C (68.0°F),19.0°C (66.2°F),63.1mm | 2.48in,16.0kmh | 9.94mph,63.1mb
kisumu,April,2013,29.0°C (84.2°F),24.0°C (75.2°F),19.0°C (66.2°F),19.0°C (66.2°F),49.1mm | 1.93in,13.0kmh | 8.08mph,49.1mb
kisumu,May,2013,29.0°C (84.2°F),24.0°C (75.2°F),19.0°C (66.2°F),20.0°C (68.0°F),80.2mm | 3.16in,12.0kmh | 7.46mph,80.2mb
kisumu,June,2013,28.0°C (82.4°F),23.0°C (73.4°F),17.0°C (62.6°F),18.0°C (64.4°F),48.3mm | 1.9in,11.0kmh | 6.84mph,48.3mb
kisumu,July,2013,28.0°C (82.4°F),23.0°C (73.4°F),17.0°C (62.6°F),17.0°C (62.6°F),16.6mm | 0.65in,13.0kmh | 8.08mph,16.6mb
kisumu,August,2013,29.0°C (84.2°F),24.0°C (75.2°F),18.0°C (64.4°F),18.0°C (64.4°F),37.0mm | 1.46in,12.0kmh | 7.46mph,37.0mb
kisumu,September,2013,31.0°C (87.8°F),25.0°C (77.0°F),18.0°C (64.4°F),19.0°C (66.2°F),30.1mm | 1.19in,14.0kmh | 8.7mph,30.1mb
kisumu,October,2013,31.0°C (87.8°F),25.0°C (77.0°F),18.0°C (64.4°F),18.0°C (64.4°F),26.7mm | 1.05in,15.0kmh | 9.32mph,26.7mb
kisumu,November,2013,30.0°C (86.0°F),25.0°C (77.0°F),19.0°C (66.2°F),19.0°C (66.2°F),32.7mm | 1.29in,15.0kmh | 9.32mph,32.7mb
